Date,AAPL.US Close,MSFT.US Close,ADBE.US Close,AMZN.US Close,PEP.US Close,AAPL.US High,MSFT.US High,ADBE.US High,AMZN.US High,PEP.US High,AAPL.US Low,MSFT.US Low,ADBE.US Low,AMZN.US Low,PEP.US Low,AAPL.US Open,MSFT.US Open,ADBE.US Open,AMZN.US Open,PEP.US Open,AAPL.US Volume,MSFT.US Volume,ADBE.US Volume,AMZN.US Volume,PEP.US Volume
2024-09-23,225.203,432.644,527.87,193.88,172.11,228.166,435.588,532.0,194.45,173.94,224.546,429.529,524.955,190.57,170.725,226.068,433.412,525.71,191.64,170.87,54450752.0,15159173.591868,2106995.0,36993111.0,5350483.0
2024-09-24,226.098,428.313,524.07,193.96,169.92,228.066,432.484,530.2999,195.37,171.6,224.466,425.249,521.71,190.13,169.5,227.366,432.135,527.72,194.27,170.99,43801198.0,17049813.412135,2842054.0,43478926.0,7837853.0
2024-09-25,225.103,431.247,517.9,192.53,169.4,226.018,432.254,526.18,193.9498,170.765,222.766,427.714,516.24,192.16,168.7623,223.671,428.971,526.02,193.75,170.4,42546825.0,13423178.696697,3211612.0,26391144.0,4505130.0
2024-09-26,226.247,430.448,515.38,191.16,169.69,227.221,434.43,521.355,194.53,171.0,224.148,428.273,512.11,189.54,168.68,226.028,434.216,520.51,194.31,169.22,36842895.0,14521051.853503,3282437.0,36334854.0,5673635.0
2024-09-27,226.515,427.165,515.48,187.97,170.0,228.236,430.987,516.6799,190.9,171.645,226.028,426.616,512.3,187.34,169.68,227.181,430.658,516.52,190.68,169.96,34217462.0,14925947.690165,2718323.0,36002316.0,7545935.0
2024-09-30,231.696,429.44,517.78,186.33,170.05,231.696,429.56,518.47,188.49,171.74,228.366,424.52,511.74,184.65,169.58,228.752,427.355,513.83,187.14,170.58,55101764.0,16888342.851868,2588151.0,41680400.0,5054615.0
2024-10-01,224.943,419.85,502.8,185.13,171.38,228.366,427.624,519.0,186.19,171.94,222.488,417.973,502.5,183.4519,169.77,228.236,427.594,517.45,184.9,171.29,63641211.0,19131162.200521,3730026.0,36044906.0,7095860.0
2024-10-02,225.511,416.297,505.81,184.76,169.55,226.098,421.975,510.19,186.6,171.74,221.772,415.878,502.8201,184.04,168.52,224.626,421.736,503.87,184.44,171.5,33065654.0,16615448.707243,1981848.0,23704056.0,5785972.0
2024-10-03,224.406,415.708,503.8,181.96,168.53,225.536,418.712,509.81,183.44,169.105,222.071,413.462,498.59,180.875,167.17,223.881,416.796,501.02,183.045,168.14,34235755.0,13713816.286362,1921604.0,30204302.0,5090330.0
2024-10-04,225.531,415.229,507.22,186.51,167.97,226.723,418.911,508.56,187.6,168.5,222.876,414.141,503.5901,183.6,166.82,226.625,417.405,507.29,185.75,167.15,37555273.0,19229326.297178,1949994.0,41079011.0,4391321.0
