Date,^IPC Open,^IPC High,^IPC Low,^IPC Close,^IPC Volume
2024-05-03,56706.23,57258.41,56668.74,57135.26,175056085
2024-05-06,57204.53,57559.09,57127.03,57282.95,174095355
2024-05-07,57376.07,57445.99,56844.03,57108.32,297797955
2024-05-08,57055.52,57249.77,56661.76,57081.0,278862053
2024-05-09,57118.14,58063.08,57001.53,57846.08,191321282
2024-05-10,57836.59,58090.25,57627.96,57718.04,215416651
2024-05-13,57735.01,58169.69,57664.13,57731.12,121761209
2024-05-14,57890.03,57896.18,57127.46,57231.75,225449233
2024-05-15,57284.92,58135.03,57283.06,57454.65,174206141
2024-05-16,57388.21,57721.48,57232.31,57462.17,188203142
2024-05-17,57506.49,57847.38,57385.25,57583.08,109270508
2024-05-20,57604.25,57725.82,57270.53,57393.28,137307598
2024-05-21,57286.59,57286.59,56638.15,56760.71,175206928
2024-05-22,56653.09,56656.63,56148.63,56432.04,156403624
2024-05-23,56342.2,56407.03,55857.91,55918.38,154646172
2024-05-24,55860.95,55908.65,55368.21,55413.12,148845666
2024-05-27,55428.24,55551.24,55120.48,55452.88,30726475
2024-05-28,55452.8,55526.26,55078.44,55184.95,153188567
2024-05-29,55120.56,55458.43,54352.15,55212.64,247658751
2024-05-30,55169.9,55683.57,54768.4,55352.56,232591636
2024-05-31,55253.5,55588.2,54839.26,55179.24,755398332
2024-06-03,54967.91,55197.11,51358.97,51807.55,299888097
2024-06-04,51894.32,53683.23,51894.32,53485.62,339298616
2024-06-05,53467.37,54536.16,53306.8,54410.51,298596006
2024-06-06,54427.75,55730.31,54038.61,54477.25,300812359
2024-06-07,54477.62,54788.32,52887.25,52977.32,281301672
2024-06-10,52989.2,53652.32,52989.2,53122.58,209603896
2024-06-11,53184.54,53567.24,52624.87,53134.06,241229941
2024-06-12,53220.09,53767.39,52928.94,52975.89,257816651
2024-06-13,52978.19,53072.21,52209.61,52275.65,212337168
2024-06-14,52218.93,52482.81,51872.13,52222.94,268209452
2024-06-17,52247.33,52438.78,52000.77,52397.2,170039687
2024-06-18,52341.32,53547.49,52271.75,53236.46,183423970
2024-06-19,53220.38,53389.8,53190.56,53323.37,32765077
2024-06-20,53202.65,53414.15,52819.54,53333.04,204979110
2024-06-21,53370.23,53405.11,52698.68,52788.5,1105858397
2024-06-24,52741.54,53136.73,52388.42,52512.91,218204516
2024-06-25,52472.32,52690.1,51847.71,52604.05,273486513
2024-06-26,52630.45,52779.66,51993.92,52468.01,298607092
2024-06-27,52284.12,52470.77,52082.76,52310.96,273034983
2024-06-28,52455.93,52780.32,51980.72,52440.02,243724979
2024-07-01,52452.44,53159.3,52452.44,52883.97,197511828
2024-07-02,52842.66,53126.97,51802.5,51947.89,264359369
2024-07-03,52057.26,53054.17,52036.02,52796.26,139483807
2024-07-04,52817.56,52974.24,52572.78,52654.85,20477251
2024-07-05,52703.12,52770.47,52216.9,52333.16,167390055
2024-07-08,52227.48,53020.03,52214.51,52907.69,217413381
2024-07-09,52886.07,53405.57,52838.63,53331.81,204901127
2024-07-10,53409.82,54342.27,53349.35,54279.88,248590524
2024-07-11,54328.38,54629.55,54281.1,54422.59,176982868
2024-07-12,54398.61,55078.15,54205.11,54953.11,206531256
2024-07-15,54894.92,55120.42,54243.09,54311.99,177277960
2024-07-16,54337.22,54594.69,54068.81,54368.0,208004656
2024-07-17,54346.14,54448.48,53507.42,53744.78,237669226
2024-07-18,53803.6,54045.73,52919.18,53043.0,233238383
2024-07-19,53048.38,53793.1,52889.88,53678.52,131925224
2024-07-22,53656.17,54161.08,53575.13,54006.92,280362395
2024-07-23,53726.81,54063.01,53539.34,53707.74,267716532
2024-07-24,53651.36,53941.54,53051.26,53168.41,227583230
2024-07-25,53085.11,53300.48,52692.76,52931.87,336606236
2024-07-26,52959.76,53157.34,52559.26,52819.58,301551829
2024-07-29,52837.3,53235.57,52438.45,52515.79,302616835
2024-07-30,52574.96,52973.39,52228.12,52325.42,292415811
2024-07-31,52279.65,53313.56,52279.65,53093.96,377436534
2024-08-01,53138.53,53138.53,52302.71,52417.48,315067524
2024-08-02,52379.62,52379.62,51734.41,52242.38,230931199
2024-08-05,52047.16,52124.55,51259.73,51776.48,167685856
2024-08-06,51890.43,52494.2,51834.23,52399.63,209484315
2024-08-07,52419.12,52935.55,52415.47,52680.9,221599157
2024-08-08,52748.47,53116.73,52615.14,52876.55,182699907
2024-08-09,52872.71,53118.01,52771.59,53051.54,145598097
2024-08-12,53085.63,53165.09,52626.94,53040.35,156078073
2024-08-13,53185.16,53730.8,53185.16,53674.2,174800540
2024-08-14,53659.64,53787.78,53399.19,53718.95,208928486
2024-08-15,53678.8,54311.71,53678.8,54264.92,186810613
2024-08-16,54262.27,54343.28,54005.98,54083.78,163832562
2024-08-19,54026.93,54293.12,54026.93,54104.68,132430453
2024-08-20,54130.42,54302.27,53820.87,53961.06,178585431
2024-08-21,53979.31,54144.86,53620.96,53864.73,221702252
2024-08-22,53811.87,54136.93,53273.12,53316.2,303743661
2024-08-23,53368.18,53807.37,53341.53,53490.92,245775940
2024-08-26,53490.92,53725.66,53111.67,53171.31,211433809
2024-08-27,53122.58,53403.01,52457.73,52474.31,200486313
2024-08-28,52500.07,52972.61,52388.48,52439.87,239110290
2024-08-29,52511.05,53302.31,52476.85,53138.96,216583796
2024-08-30,52945.72,53102.09,51985.87,51985.87,464816545
2024-09-02,52133.89,52737.12,52091.59,52493.38,31027727
2024-09-03,52421.7,52462.74,51507.48,51589.42,200061861
2024-09-04,51571.67,52232.51,51466.16,51811.37,178945532
2024-09-05,51791.82,52149.44,51597.65,51661.48,194167837
2024-09-06,51727.46,51924.52,50912.97,51083.44,147262104
2024-09-09,51044.56,51578.67,51020.33,51136.05,153374113
2024-09-10,51099.7,51283.87,50790.24,50973.11,241346510
2024-09-11,50990.32,51318.33,50782.11,51195.76,238237935
2024-09-12,51158.21,52137.38,51158.21,51999.73,229945547
2024-09-13,52005.65,52431.65,51877.41,52016.85,141368557
2024-09-17,51978.63,52796.49,51978.63,52273.53,203046652
2024-09-18,52350.4,52783.81,52193.85,52582.89,144912375
2024-09-19,52735.25,53114.01,52636.7,52918.04,204810489
2024-09-20,52913.12,52913.12,52082.45,52190.48,899081045
2024-09-23,52231.93,52547.38,51895.92,52422.24,201434041
2024-09-24,52529.94,53711.58,52529.94,53653.95,279229465
2024-09-25,53496.74,53597.83,53100.25,53190.93,221523308
2024-09-26,53052.69,54201.46,53052.69,53590.52,241227151
2024-09-27,53540.23,53846.37,52722.22,52778.17,234650293
2024-09-30,52854.82,52865.08,52368.51,52477.3,246167773
2024-10-02,52324.65,52771.2,51654.61,52199.66,312648550
2024-10-03,52183.99,52183.99,51507.52,51674.54,261782072
2024-10-04,51763.54,52984.36,51731.62,52609.88,208825892
2024-10-07,52587.77,53067.02,51943.0,52039.87,178648017
2024-10-08,52085.07,52095.76,51567.96,51764.64,242914147
2024-10-09,51799.49,52409.57,51699.27,51869.14,198227466
2024-10-10,51875.63,52475.6,51741.71,52391.29,230013733
2024-10-11,52485.19,52529.26,52213.62,52395.66,154454281
2024-10-14,52375.54,52377.01,51864.78,52000.59,199140931
2024-10-15,52010.75,52410.31,51922.15,52377.78,251831291
2024-10-16,52281.28,52601.45,52212.02,52483.62,249953299
2024-10-17,52392.22,52680.08,52287.59,52463.66,153665656
2024-10-18,52510.92,53076.69,52354.14,53027.42,178429594
2024-10-21,53054.25,53141.54,52538.99,52814.82,144294016
2024-10-22,52753.32,52753.32,51877.4,52368.69,248595176
2024-10-23,52183.12,52506.68,51878.57,52142.13,206239925
2024-10-24,52175.86,52421.65,51543.17,51795.56,221583953
2024-10-25,51822.28,52221.66,51743.29,51784.33,201308464
2024-10-28,51744.79,51890.22,51457.53,51816.3,206401339
2024-10-29,51760.37,51911.31,51127.88,51166.29,210440662
2024-10-30,51172.13,51227.75,50803.54,50877.24,207689996
2024-10-31,50821.74,50942.3,50520.96,50661.05,250299793
2024-11-01,50688.27,50886.77,50542.7,50622.39,151375539
2024-11-04,50595.33,51193.34,50446.34,50882.54,140020370
2024-11-05,50639.43,50934.65,50253.88,50831.5,179682402
2024-11-06,50625.6,51812.71,49486.17,51732.46,247299813
2024-11-07,51800.52,52594.22,51580.85,52311.07,254701453
2024-11-08,51937.38,52028.21,51370.36,51845.17,163291141
2024-11-11,51765.41,51907.05,51410.29,51449.43,156138332
2024-11-12,51492.63,51514.4,50984.01,51096.64,170233492
2024-11-13,51074.86,51134.84,50706.11,50747.63,179935925
2024-11-14,50790.59,50905.0,50380.0,50553.31,198737689
2024-11-15,50321.77,50860.1,50321.77,50469.4,153069343
2024-11-19,50493.48,50759.37,50165.78,50222.39,194469152
2024-11-20,50276.58,50368.18,49976.47,50168.88,221523959
2024-11-21,50099.45,50593.9,50064.85,50174.64,234439770
